participant,1,2,3,4,5,6,7,8,9,10,11,12
249,270,202,270,196,311,140,217,132,217,213,271,NA
392,135,225,47,154,318,212,330,222,203,51,38,134
401,270,240,270,333,47,316,168,312,109,14,40,68
419,227,222,270,136,36,138,226,40,152,330,316,152
441,134,223,67,158,324,227,321,272,276,54,29,159
523,219,214,22,132,326,216,28,272,269,84,19,145
560,317,133,324,201,138,158,228,136,227,NA,NA,NA
584,127,234,77,154,328,215,322,243,275,46,27,159
607,108,220,88,149,322,72,321,271,296,45,26,NA
620,137,218,118,162,292,214,316,225,313,37,27,157
687,60,215,269,178,305,126,312,294,226,59,42,167
748,103,232,71,125,300,296,295,291,234,49,33,NA
775,148,208,47,201,323,128,313,275,39,51,46,133
778,132,234,91,138,309,243,309,239,226,41,45,145
819,229,181,234,186,88,32,220,40,147,184,327,51
841,151,247,65,139,309,245,296,292,NA,55,50,142
860,184,121,301,215,80,NA,NA,NA,NA,NA,NA,NA
1000,156,239,209,188,246,221,296,120,NA,NA,NA,NA
3222,110,232,91,133,92,127,309,210,61,69,59,139
3229,142,228,91,159,307,206,321,231,246,42,32,151
3355,138,198,288,155,317,156,321,125,294,36,27,134
3356,39,228,35,147,312,201,314,325,249,36,31,143
3480,128,224,91,154,230,216,336,254,279,54,32,148
3643,121,200,50,133,319,279,238,204,136,57,44,151
3675,288,256,71,158,328,229,17,96,NA,NA,NA,NA
4003,135,242,81,159,331,205,330,222,224,42,27,150
4085,148,181,48,198,67,231,315,223,278,54,27,144
4118,126,228,68,143,317,227,313,243,292,303,38,154
4290,130,229,85,165,324,229,325,238,321,34,15,160
4293,140,226,90,161,330,235,337,248,288,48,28,149
4822,126,216,55,157,320,220,325,224,309,45,26,146
4908,54,259,114,146,328,210,324,218,211,34,25,153
4952,314,121,280,214,60,212,22,127,34,63,39,
5139,53,268,54,129,319,42,327,234,233,44,37,137
5140,263,325,268,26,17,17,134,6,133,27,325,69
5663,229,122,89,148,NA,226,314,231,312,42,44,143
5839,221,185,314,148,95,19,220,329,118,328,NA,NA
5867,119,215,107,159,243,212,51,226,299,76,40,149
5869,64,237,80,146,292,121,39,129,65,67,19,144
AJ,133,215,73,144,319,225,331,237,289,41,29,138
AR,107,285,63,230,320,208,308,235,281,71,24,159
AT,145,196,283,202,232,299,48,NA,NA,NA,NA,NA
AU,126,243,51,153,313,210,321,251,307,40,27,151
AZ,148,214,79,202,42,198,36,246,63,45,36,127
BB,139,232,55,143,309,206,320,321,291,56,61,121
BF,134,246,115,142,313,207,320,311,320,42,23,146
BX,118,225,79,163,318,219,336,263,284,37,35,148
CA,146,228,55,157,322,222,320,238,268,55,34,145
CR,135,231,59,135,303,230,329,236,277,44,26,134
CY,67,214,117,144,291,208,306,221,243,82,52,148
